시도명,선거구명,구시군명,읍면동명,투표타입,선거인수,투표수,후보자별 득표수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,계,"무효
투표수",기권수
서울특별시,종로구,종로구,,,,,"더불어민주당
곽상언","국민의힘
최재형","새로운미래
진예찬","개혁신당
금태섭","가락특권폐지당
김준수","대한국민당
김종갑","민중민주당
차은정",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,성주동제3투,"2,490","1,418",699,578,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,404",14,"1,072"
,,,,성주동제4투,"2,155","1,380",631,607,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,364",16,775
,,,,성주동제5투,"2,591","1,773",769,858,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,758",15,818
,,,,성주동제6투,"2,217","1,512",623,778,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,496",16,705
,,,웅남동,소계,"6,151","4,294","1,804","2,209",242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,255",39,"1,857"
,,,,관내사전투표,"1,826","1,826",921,799,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,815",11,0
,,,,웅남동제1투,840,427,115,287,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,4,413
,,,,웅남동제2투,"1,659","1,004",409,516,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,12,655
,,,,웅남동제3투,"1,393",795,282,455,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785,10,598
,,,,웅남동제4투,433,242,77,152,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,2,191
,,,용지동,소계,"21,511","14,289","6,082","7,172",884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,138",151,"7,222"
,,,,관내사전투표,"4,649","4,646","2,412","1,930",263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,605",41,3
,,,,용지동제1투,"3,599","2,186",933,"1,089",139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,161",25,"1,413"
,,,,용지동제2투,"2,437","1,416",474,848,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,396",20,"1,021"
,,,,용지동제3투,"2,662","1,487",612,758,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,469",18,"1,175"
,,,,용지동제4투,"2,235","1,255",458,723,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,248",7,980
,,,,용지동제5투,"3,303","1,686",602,945,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,660",26,"1,617"
,,,,용지동제6투,"2,626","1,613",591,879,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,599",14,"1,013"
,,,잘못 투입·구분된 투표지,,0,7,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,-7
,창원시마산합포구,창원시마산합포구,,,,,"더불어민주당
이옥선","국민의힘
최형두",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,합계,,"155,430","104,741","37,205","66,283",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"103,488","1,253","50,689"
,,,거소·선상투표,,404,379,140,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359,20,25
,,,관외사전투표,,"8,194","8,193","3,912","4,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,076",117,1
,,,국외부재자투표,,244,174,131,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,1,70
,,,구산면,소계,"3,421","2,305",514,"1,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,253",52,"1,116"
,,,,관내사전투표,769,767,242,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748,19,2
,,,,구산면제1투,934,520,103,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513,7,414
,,,,구산면제2투,"1,718","1,018",169,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,26,700
,,,진동면,소계,"9,689","6,256","2,229","3,947",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,176",80,"3,433"
,,,,관내사전투표,"2,808","2,808","1,210","1,572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,782",26,0
,,,,진동면제1투,741,459,96,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445,14,282
,,,,진동면제2투,"2,337","1,172",308,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,157",15,"1,165"
,,,,진동면제3투,"1,442",712,164,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698,14,730
,,,,진동면제4투,"2,361","1,105",451,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,094",11,"1,256"
,,,진북면,소계,"2,818","1,818",413,"1,374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,787",31,"1,000"
,,,,관내사전투표,694,694,200,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,4,0
,,,,진북면제1투,"1,503",808,154,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787,21,695
,,,,진북면제2투,621,316,59,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,6,305
,,,진전면,소계,"3,158","2,177",488,"1,641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,129",48,981
,,,,관내사전투표,909,909,244,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,19,0
,,,,진전면제1투,"1,235",651,129,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637,14,584
,,,,진전면제2투,"1,014",617,115,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602,15,397
,,,현동,소계,"10,251","7,184","3,081","4,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,130",54,"3,067"
,,,,관내사전투표,"3,412","3,412","1,614","1,778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,392",20,0
,,,,현동제1투,"2,134","1,200",467,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,189",11,934
,,,,현동제2투,"2,462","1,311",403,895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,298",13,"1,151"
,,,,현동제3투,"2,243","1,261",597,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,251",10,982
,,,가포동,소계,"2,977","1,906",902,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,888",18,"1,071"
,,,,관내사전투표,"1,101","1,101",549,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,094",7,0
,,,,가포동투표소,"1,876",805,353,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,11,"1,071"
,,,월영동,소계,"30,711","20,089","8,143","11,757",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,900",189,"10,622"
,,,,관내사전투표,"7,625","7,624","3,519","4,046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,565",59,1
,,,,월영동제1투,"1,822",685,198,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668,17,"1,137"
,,,,월영동제2투,"1,539",816,204,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,6,723
,,,,월영동제3투,"2,606","1,384",538,837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,375",9,"1,222"
,,,,월영동제4투,"2,422","1,300",389,893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,282",18,"1,122"
,,,,월영동제5투,"1,785","1,133",338,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,119",14,652
,,,,월영동제6투,"2,635","1,275",469,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,261",14,"1,360"
,,,,월영동제7투,"3,775","1,877",692,"1,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,862",15,"1,898"
,,,,월영동제8투,"3,377","2,122",975,"1,130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,105",17,"1,255"
,,,,월영동제9투,"3,125","1,873",821,"1,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,853",20,"1,252"
,,,문화동,소계,"10,110","6,505","2,194","4,225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,419",86,"3,605"
,,,,관내사전투표,"3,254","3,252","1,259","1,962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,221",31,2
,,,,문화동제1투,"2,253","1,024",291,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,003",21,"1,229"
,,,,문화동제2투,"1,896",950,256,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931,19,946
,,,,문화동제3투,"2,707","1,279",388,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,264",15,"1,428"
,,,완월동,소계,"7,815","5,259","1,676","3,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,184",75,"2,556"
,,,,관내사전투표,"2,382","2,381",913,"1,439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,352",29,1
,,,,완월동제1투,"1,217",610,150,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,9,607
,,,,완월동제2투,"1,837","1,006",235,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995,11,831
,,,,완월동제3투,"2,379","1,262",378,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,236",26,"1,117"
,,,자산동,소계,"8,024","5,254","1,528","3,673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,201",53,"2,770"
,,,,관내사전투표,"2,446","2,446",795,"1,630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,425",21,0
,,,,자산동제1투,"2,733","1,438",335,"1,090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,425",13,"1,295"
,,,,자산동제2투,"2,845","1,370",398,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,351",19,"1,475"
,,,교방동,소계,"14,635","9,846","3,523","6,214",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,737",109,"4,789"
,,,,관내사전투표,"3,621","3,621","1,527","2,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,599",22,0
,,,,교방동제1투,"3,739","2,109",609,"1,461",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,070",39,"1,630"
,,,,교방동제2투,"2,593","1,520",585,919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,504",16,"1,073"
,,,,교방동제3투,"2,688","1,556",575,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,535",21,"1,132"
,,,,교방동제4투,"1,994","1,040",227,802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,029",11,954
,,,합포동,소계,"6,179","4,015","1,291","2,678",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,969",46,"2,164"
,,,,관내사전투표,"2,033","2,033",747,"1,263",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,010",23,0
,,,,합포동제1투,"2,824","1,413",424,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,398",15,"1,411"
,,,,합포동제2투,"1,322",569,120,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561,8,753
,,,산호동,소계,"9,962","6,250","1,972","4,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,165",85,"3,712"
,,,,관내사전투표,"2,411","2,411",870,"1,519",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,389",22,0
,,,,산호동제1투,"1,943","1,097",295,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,079",18,846
,,,,산호동제2투,"1,647",809,243,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798,11,838
,,,,산호동제3투,"2,188","1,145",350,771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,121",24,"1,043"
,,,,산호동제4투,"1,773",788,214,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778,10,985
,,,반월중앙동,소계,"11,259","7,651","2,430","5,127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,557",94,"3,608"
,,,,관내사전투표,"2,930","2,930","1,066","1,846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,912",18,0
,,,,반월중앙동제1투,"2,697","1,489",486,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,472",17,"1,208"
,,,,반월중앙동제2투,911,407,112,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,9,504
,,,,반월중앙동제3투,"2,133","1,206",302,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,180",26,927
,,,,반월중앙동제4투,"2,588","1,619",464,"1,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,595",24,969
,,,오동동,소계,"15,579","9,477","2,638","6,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,382",95,"6,102"
,,,,관내사전투표,"3,176","3,176","1,001","2,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,152",24,0
,,,,오동동제1투,"2,781","1,132",269,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,117",15,"1,649"
,,,,오동동제2투,"2,176","1,317",341,959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,300",17,859
,,,,오동동제3투,"1,665","1,073",298,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,068",5,592
,,,,오동동제4투,"1,921","1,009",243,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,17,912
,,,,오동동제5투,"2,483","1,128",354,764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,118",10,"1,355"
,,,,오동동제6투,"1,377",642,132,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635,7,735
,,,잘못 투입·구분된 투표지,,0,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,-3
,창원시마산회원구,창원시마산회원구,,,,,"더불어민주당
송순호","국민의힘
윤한홍",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,합계,,"156,812","108,004","42,924","63,778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106,702","1,302","48,808"
,,,거소·선상투표,,339,313,111,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,11,26
,,,관외사전투표,,"9,199","9,194","4,692","4,362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,054",140,5
,,,국외부재자투표,,219,142,102,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,1,77
,,,내서읍,소계,"47,053","31,608","14,468","16,788",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,256",352,"15,445"
,,,,관내사전투표,"8,294","8,293","4,483","3,759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,242",51,1
,,,,내서읍제1투,355,244,45,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,2,111
,,,,내서읍제2투,"3,449","2,100",930,"1,143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,073",27,"1,349"
,,,,내서읍제3투,"2,101","1,245",481,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,225",20,856
,,,,내서읍제4투,"3,017","2,134",992,"1,129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,121",13,883
,,,,내서읍제5투,"2,888","1,685",624,"1,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,662",23,"1,203"
,,,,내서읍제6투,"2,112","1,329",439,881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,320",9,783
,,,,내서읍제7투,"2,664","1,329",445,863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,308",21,"1,335"
,,,,내서읍제8투,"2,579","1,442",571,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,421",21,"1,137"
,,,,내서읍제9투,"2,026","1,198",371,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,161",37,828
,,,,내서읍제10투,"3,935","2,232","1,032","1,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,200",32,"1,703"
,,,,내서읍제11투,"2,533","1,426",699,709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,408",18,"1,107"
,,,,내서읍제12투,"3,518","2,164",997,"1,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,137",27,"1,354"
,,,,내서읍제13투,"3,562","2,228","1,087","1,116",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,203",25,"1,334"
,,,,내서읍제14투,"3,349","2,133","1,153",960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,113",20,"1,216"
,,,,내서읍제15투,671,426,119,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,6,245
,,,회원1동,소계,"8,810","5,895","1,721","4,102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,823",72,"2,915"
,,,,관내사전투표,"2,587","2,586",895,"1,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,562",24,1
,,,,회원1동제1투,"2,175","1,223",286,921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,207",16,952
,,,,회원1동제2투,"2,292","1,213",294,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,195",18,"1,079"
,,,,회원1동제3투,"1,756",873,246,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859,14,883
,,,회원2동,소계,"7,692","5,039","1,634","3,335",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,969",70,"2,653"
,,,,관내사전투표,"1,911","1,911",639,"1,255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,894",17,0
,,,,회원2동제1투,"1,693",821,222,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804,17,872
,,,,회원2동제2투,"2,664","1,519",589,904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,493",26,"1,145"
,,,,회원2동제3투,"1,424",788,184,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778,10,636
,,,회성동,소계,"5,031","3,418","1,005","2,359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,364",54,"1,613"
,,,,관내사전투표,"1,599","1,599",523,"1,059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,582",17,0
,,,,회성동제1투,"1,652",869,253,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853,16,783
,,,,회성동제2투,"1,339",705,173,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688,17,634
,,,,회성동제3투,441,245,56,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,4,196
,,,양덕1동,소계,"8,907","5,551","1,823","3,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,484",67,"3,356"
,,,,관내사전투표,"2,622","2,622",930,"1,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,602",20,0
,,,,양덕1동제1투,"3,335","1,637",508,"1,097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,605",32,"1,698"
,,,,양덕1동제2투,"2,950","1,292",385,892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,277",15,"1,658"
,,,양덕2동,소계,"24,071","16,814","6,733","9,910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,643",171,"7,257"
,,,,관내사전투표,"5,698","5,697","2,587","3,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,657",40,1
,,,,양덕2동제1투,"3,028","1,805",711,"1,070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,781",24,"1,223"
,,,,양덕2동제2투,"2,431","1,466",482,967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,449",17,965
,,,,양덕2동제3투,"1,864","1,016",303,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,005",11,848
,,,,양덕2동제4투,"2,643","1,614",721,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,596",18,"1,029"
,,,,양덕2동제5투,"1,992",955,361,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937,18,"1,037"
,,,,양덕2동제6투,"3,292","2,204",742,"1,437",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,179",25,"1,088"
,,,,양덕2동제7투,"3,123","2,057",826,"1,213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,039",18,"1,066"
,,,합성1동,소계,"7,616","5,016","1,807","3,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,960",56,"2,600"
,,,,관내사전투표,"2,498","2,498",977,"1,501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,478",20,0
,,,,합성1동제1투,"1,821",812,245,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804,8,"1,009"
,,,,합성1동제2투,"3,297","1,706",585,"1,093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,678",28,"1,591"
,,,합성2동,소계,"6,558","4,137","1,288","2,808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,096",41,"2,421"
,,,,관내사전투표,"1,952","1,951",655,"1,283",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,938",13,1
,,,,합성2동제1투,"2,174","1,088",303,769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,072",16,"1,086"
,,,,합성2동제2투,"2,432","1,098",330,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,086",12,"1,334"
