시도명,선거구명,구시군명,읍면동명,투표타입,선거인수,투표수,후보자별 득표수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,계,"무효
투표수",기권수
서울특별시,종로구,종로구,,,,,"더불어민주당
곽상언","국민의힘
최재형","새로운미래
진예찬","개혁신당
금태섭","가락특권폐지당
김준수","대한국민당
김종갑","민중민주당
차은정",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,거진읍제3투,542,292,106,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,2,250
,,,,거진읍제4투,263,170,50,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,2,93
,,,,거진읍제5투,415,237,79,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,2,178
,,,현내면,소계,"2,015","1,494",489,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,470",24,521
,,,,관내사전투표,526,526,213,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,6,0
,,,,현내면제1투,488,313,99,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,5,175
,,,,현내면제2투,535,342,87,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335,7,193
,,,,현내면제3투,242,151,39,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,4,91
,,,,현내면제4투,224,162,51,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,2,62
,,,죽왕면,소계,"2,957","2,108",761,"1,331",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,092",16,849
,,,,관내사전투표,876,876,384,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871,5,0
,,,,죽왕면제1투,573,320,105,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,4,253
,,,,죽왕면제2투,432,264,72,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,2,168
,,,,죽왕면제3투,716,410,122,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,5,306
,,,,죽왕면제4투,360,238,78,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,0,122
,,,토성면,소계,"6,902","4,511","1,787","2,673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,460",51,"2,391"
,,,,관내사전투표,"1,981","1,981",908,"1,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,961",20,0
,,,,토성면제1투,"2,181","1,029",401,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,016",13,"1,152"
,,,,토성면제2투,791,496,131,359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,6,295
,,,,토성면제3투,786,429,149,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,5,357
,,,,토성면제4투,"1,163",576,198,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569,7,587
,,,잘못 투입·구분된 투표지,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,양양군,,,,,"더불어민주당
김도균","국민의힘
이양수",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,합계,,"25,225","17,797","7,079","10,458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,537",260,"7,428"
,,,거소·선상투표,,47,46,16,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,1
,,,관외사전투표,,"1,736","1,736",895,823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,718",18,0
